Topic,Count,Name,Top_Words
161,0,161_time_work_think_software,"time, work, think, software, well, good, one, know, get, run"
162,0,162_get_people_make_well,"get, people, make, well, one, number, use, many, year, say"
163,0,163_tom_rob_david_university,"tom, rob, david, university, thanks, robert, michael, holland, mike, peter"
164,3,164_say_life_use_many,"say, life, use, many, even, one, long, main, know, time"
165,2,165_thanks_know_get_post,"thanks, know, get, post, say, one, like, think, well, use"
166,0,166_time_well_make_one,"time, well, make, one, also, use, like, say, even, think"
167,21,167_one_use_power_get,"one, use, power, get, voltage, need, output, like, well, less"
168,0,168_say_well_know_one,"say, well, know, one, time, get, think, even, like, try"
169,17,169_price_ship_sell_sale,"price, ship, sell, sale, use, one, please, interested, get, card"
170,6,170_team_game_win_well,"team, game, win, well, good, say, season, year, one, last"
171,2,171_use_one_know_make,"use, one, know, make, phone, data, time, frequency, equipment, good"
172,0,172_like_one_get_good,"like, one, get, good, use, need, know, time, also, well"
173,1,173_use_know_one_make,"use, know, one, make, like, also, time, well, get, please"
174,3,174_know_one_get_well,"know, one, get, well, much, like, say, good, please, think"
175,1,175_like_one_use_know,"like, one, use, know, get, make, also, work, people, time"
176,5,176_know_like_get_work,"know, like, get, work, use, well, one, need, good, think"
177,1,177_look_know_thanks_please,"look, know, thanks, please, one, email, good, like, mail, get"
178,48,178_bike_ride_helmet_like,"bike, ride, helmet, like, seat, one, use, get, park, think"
179,0,179_use_know_like_one,"use, know, like, one, think, thing, year, change, replace, time"
180,2,180_keyboard_also_know_use,"keyboard, also, know, use, window, thanks, make, like, one, get"
181,1,181_use_one_also_please,"use, one, also, please, know, thanks, time, get, year, new"
182,0,182_new_know_use_good,"new, know, use, good, one, sure, son, like, get, think"
183,4,183_islam_one_islamic_people,"islam, one, islamic, people, like, say, make, time, religious, religion"
184,17,184_scsi_card_drive_controller,"scsi, card, drive, controller, work, use, one, know, hard, install"
185,0,185_ship_price_use_monitor,"ship, price, use, monitor, one, please, card, work, know, sell"
186,3,186_use_one_get_know,"use, one, get, know, like, also, thanks, work, well, time"
187,0,187_one_good_say_make,"one, good, say, make, know, think, time, like, well, use"
188,1,188_game_team_play_john,"game, team, play, john, know, season, year, mike, win, bob"
189,20,189_know_like_graphic_look,"know, like, graphic, look, good, use, run, try, library, one"
190,4,190_get_say_one_child,"get, say, one, child, people, think, even, good, make, many"
191,0,191_one_know_use_good,"one, know, use, good, get, say, make, also, even, like"
192,0,192_know_low_get_design,"know, low, get, design, also, way, voltage, like, think, first"
193,0,193_one_know_get_use,"one, know, get, use, say, like, think, make, time, please"
194,0,194_get_use_people_one,"get, use, people, one, make, kent, like, think, say, many"
195,84,195_one_know_thanks_use,"one, know, thanks, use, get, like, david, good, well, year"
196,1,196_like_people_time_israeli,"like, people, time, israeli, say, one, israel, think, clinton, even"
197,0,197_get_one_know_year,"get, one, know, year, government, law, even, make, time, like"
198,1,198_think_theory_know_say,"think, theory, know, say, one, way, make, perhaps, however, time"
199,0,199_one_people_know_time,"one, people, know, time, think, even, god, mean, make, well"
200,0,200_well_game_team_one,"well, game, team, one, year, like, good, get, say, much"
201,0,201_use_one_get_old,"use, one, get, old, please, also, know, like, make, well"
202,0,202_use_get_make_know,"use, get, make, know, think, like, one, well, time, say"
203,5,203_get_people_know_one,"get, people, know, one, well, make, even, canada, pay, germany"
204,1,204_say_think_one_people,"say, think, one, people, like, make, even, know, way, well"
205,0,205_use_get_one_know,"use, get, one, know, work, well, good, make, time, like"
206,0,206_make_one_say_use,"make, one, say, use, know, law, people, get, well, right"
207,9,207_say_one_moral_morality,"say, one, moral, morality, thing, know, think, well, people, even"
208,0,208_thanks_please_thank_know,"thanks, please, thank, know, advance, one, much, post, say, like"
209,0,209_thanks_one_much_good,"thanks, one, much, good, advice, well, get, people, say, thank"
210,0,210_use_like_one_know,"use, like, one, know, get, also, make, work, find, need"
211,0,211_run_window_version_know,"run, window, version, know, new, like, use, good, well, one"
212,0,212_software_use_get_like,"software, use, get, like, support, printer, work, one, know, please"
213,18,213_window_use_windows_get,"window, use, windows, get, work, fine, do, run, like, one"
214,4,214_one_say_people_think,"one, say, people, think, make, know, god, like, time, give"
215,6,215_use_work_get_one,"use, work, get, one, well, know, like, thanks, time, also"
216,9,216_one_offer_price_please,"one, offer, price, please, get, good, pay, day, hotel, give"
217,0,217_one_get_think_like,"one, get, think, like, make, say, people, please, want, know"
218,2,218_get_one_know_like,"get, one, know, like, make, well, think, say, even, want"
219,1,219_people_chinese_think_say,"people, chinese, think, say, time, one, also, well, like, know"
220,1,220_like_use_one_know,"like, use, one, know, want, well, get, work, also, make"
221,2,221_game_team_year_well,"game, team, year, well, season, think, get, like, one, say"
222,0,222_please_post_know_one,"please, post, know, one, thanks, email, get, make, much, think"
223,0,223_get_good_think_safety,"get, good, think, safety, enough, people, one, like, go, make"
224,1,224_one_know_make_use,"one, know, make, use, also, like, find, get, say, time"
225,0,225_window_use_work_thanks,"window, use, work, thanks, like, know, code, need, get, try"
226,1,226_please_thanks_email_mail,"please, thanks, email, mail, address, know, send, interested, reply, one"
227,5,227_use_clipper_encryption_one,"use, clipper, encryption, one, want, even, get, key, think, chip"
228,2,228_one_secretary_get_time,"one, secretary, get, time, well, president, say, year, know, government"
229,1,229_well_time_much_get,"well, time, much, get, like, use, voltage, one, also, know"
230,7,230_use_one_know_like,"use, one, know, like, good, time, final, take, please, picture"
231,0,231_know_commercial_number_time,"know, commercial, number, time, get, also, part, cost, use, please"
232,0,232_thanks_thank_kent_advance,"thanks, thank, kent, advance, ship, well, much, use, like, please"
233,5,233_one_know_film_good,"one, know, film, good, like, even, get, make, think, back"
234,2,234_astronomy_new_one_international,"astronomy, new, one, international, time, year, number, orbit, also, solar"
235,0,235_ram_work_use_card,"ram, work, use, card, board, floppy, serial, drive, system, upgrade"
236,1,236_use_one_thanks_get,"use, one, thanks, get, know, please, like, well, also, time"
237,4,237_game_team_know_good,"game, team, know, good, well, year, one, think, last, win"
238,0,238_design_one_use_think,"design, one, use, think, like, know, get, well, need, time"
239,0,239_kent_hope_thanks_david,"kent, hope, thanks, david, subscribe, holland, michael, help, peter, work"
240,0,240_thanks_kent_thank_please,"thanks, kent, thank, please, advance, email, much, people, acknowledge, john"
241,5,241_skin_one_also_get,"skin, one, also, get, use, find, well, experience, know, people"
242,3,242_one_work_use_thanks,"one, work, use, thanks, get, know, problem, also, please, run"
243,0,243_one_time_well_people,"one, time, well, people, make, say, city, like, way, law"
244,3,244_use_one_good_camera,"use, one, good, camera, get, card, condition, sell, film, well"
245,0,245_much_get_know_make,"much, get, know, make, time, one, use, keyboard, people, run"
246,0,246_like_one_get_know,"like, one, get, know, even, work, make, good, well, need"
247,0,247_like_one_make_know,"like, one, make, know, think, even, well, get, time, people"
248,1,248_well_like_use_also,"well, like, use, also, make, one, know, think, get, car"
249,3,249_like_one_think_know,"like, one, think, know, say, time, way, thing, get, first"
250,0,250_one_like_use_get,"one, like, use, get, good, find, know, work, please, also"
251,2,251_get_one_know_say,"get, one, know, say, people, use, time, like, make, even"
252,0,252_people_god_one_christian,"people, god, one, christian, think, christ, even, say, mean, time"
253,2,253_government_get_key_think,"government, get, key, think, encryption, time, one, people, public, technology"
254,1,254_game_team_one_time,"game, team, one, time, win, may, final, canada, russia, last"
255,5,255_one_use_work_well,"one, use, work, well, time, problem, test, day, thing, know"
256,0,256_one_ride_get_like,"one, ride, get, like, make, well, time, look, much, work"
257,1,257_like_well_think_time,"like, well, think, time, know, make, get, say, one, thing"
258,0,258_use_one_like_think,"use, one, like, think, try, know, also, work, look, thing"
259,0,259_one_good_know_get,"one, good, know, get, use, well, like, year, also, new"
260,5,260_homosexual_gay_sexual_sex,"homosexual, gay, sexual, sex, people, get, one, make, time, say"
261,8,261_also_know_use_one,"also, know, use, one, think, like, say, need, people, get"
262,0,262_one_right_government_use,"one, right, government, use, say, know, people, way, time, like"
263,1,263_one_thanks_know_please,"one, thanks, know, please, get, make, new, france, time, want"
264,6,264_get_know_serious_rate,"get, know, serious, rate, control, think, good, gun, say, like"
265,0,265_know_think_say_people,"know, think, say, people, try, take, way, help, like, time"
266,1,266_well_cost_get_need,"well, cost, get, need, one, money, tax, know, spend, think"
267,1,267_make_use_people_also,"make, use, people, also, get, year, one, many, well, know"
268,0,268_cost_price_one_cheap,"cost, price, one, cheap, like, good, well, think, want, get"
269,0,269_year_game_time_well,"year, game, time, well, team, say, think, one, good, first"
270,1,270_one_say_know_use,"one, say, know, use, also, like, get, think, good, work"
271,0,271_well_game_time_think,"well, game, time, think, play, get, year, good, really, know"
272,0,272_know_use_modem_work,"know, use, modem, work, thanks, problem, get, want, phone, number"
273,1,273_waco_burn_people_fire,"waco, burn, people, fire, compound, time, get, make, like, go"
274,1,274_one_use_also_people,"one, use, also, people, group, number, like, get, many, office"
275,2,275_use_know_get_one,"use, know, get, one, much, make, think, people, time, like"
276,3,276_one_fire_think_get,"one, fire, think, get, know, like, well, people, thing, time"
277,5,277_video_one_also_color,"video, one, also, color, like, make, get, work, know, think"
278,0,278_use_like_problem_well,"use, like, problem, well, get, know, also, want, one, help"
279,0,279_know_get_one_say,"know, get, one, say, like, even, think, system, also, thing"
280,0,280_like_well_one_try,"like, well, one, try, know, get, work, use, thanks, say"
281,1,281_one_like_well_know,"one, like, well, know, name, use, time, think, mean, make"
282,0,282_one_know_think_like,"one, know, think, like, also, take, please, time, use, get"
283,0,283_use_serial_work_board,"use, serial, work, board, one, sell, good, price, please, video"
284,1,284_game_year_like_well,"game, year, like, well, one, play, team, hockey, also, good"
285,0,285_think_like_know_say,"think, like, know, say, people, racist, way, get, well, remember"
286,0,286_one_even_like_know,"one, even, like, know, work, use, think, system, much, time"
287,0,287_one_like_people_well,"one, like, people, well, make, say, also, get, year, time"
288,5,288_one_make_government_get,"one, make, government, get, know, like, people, think, also, say"
289,9,289_one_get_know_also,"one, get, know, also, need, development, say, may, use, people"
290,7,290_know_one_make_like,"know, one, make, like, may, use, surface, archive, survey, user"
291,3,291_use_network_work_thanks,"use, network, work, thanks, get, like, run, please, know, send"
292,0,292_one_know_say_god,"one, know, say, god, people, think, make, like, jesus, mean"
293,0,293_people_one_law_use,"people, one, law, use, say, make, like, well, know, gun"
294,3,294_speed_performance_faster_fast,"speed, performance, faster, fast, well, slow, one, much, get, think"
295,0,295_sell_work_one_upgrade,"sell, work, one, upgrade, also, price, drive, well, scsi, buy"
296,8,296_printer_use_print_one,"printer, use, print, one, like, know, get, please, good, software"
297,0,297_one_say_know_people,"one, say, know, people, think, time, well, also, god, even"
298,50,298_game_team_hockey_wing,"game, team, hockey, wing, win, cup, year, think, one, blue"
299,0,299_get_know_use_much,"get, know, use, much, one, also, person, good, people, time"
300,0,300_get_one_use_like,"get, one, use, like, work, say, time, know, also, find"
301,1,301_thanks_please_thank_make,"thanks, please, thank, make, advance, pay, one, good, get, usual"
302,1,302_work_get_machine_one,"work, get, machine, one, like, also, ethernet, support, scsi, time"
303,0,303_also_know_even_make,"also, know, even, make, people, one, say, year, like, time"
304,0,304_know_like_one_time,"know, like, one, time, well, think, make, good, see, say"
305,1,305_one_know_use_like,"one, know, use, like, get, well, work, thanks, think, time"
306,0,306_say_get_one_make,"say, get, one, make, people, know, use, time, see, think"
307,0,307_use_window_get_know,"use, window, get, know, thanks, card, run, help, work, one"
308,1,308_team_game_player_baseball,"team, game, player, baseball, season, league, well, play, one, like"
309,0,309_get_one_know_like,"get, one, know, like, algorithm, use, may, even, people, many"
310,3,310_game_team_get_good,"game, team, get, good, time, win, one, well, think, like"
311,0,311_people_turkish_make_war,"people, turkish, make, war, one, say, like, well, even, also"
312,1,312_one_use_government_also,"one, use, government, also, get, know, washington, make, well, may"
313,0,313_use_window_get_file,"use, window, get, file, thanks, problem, program, work, like, know"
314,0,314_get_know_work_one,"get, know, work, one, much, good, say, think, first, use"
315,0,315_one_flame_stuff_know,"one, flame, stuff, know, use, say, joke, like, people, get"
316,18,316_know_voltage_like_problem,"know, voltage, like, problem, much, line, equipment, supply, also, light"
317,2,317_one_use_know_say,"one, use, know, say, think, like, get, also, well, time"
318,0,318_say_god_know_people,"say, god, know, people, like, make, get, time, many, think"
319,0,319_use_help_thanks_please,"use, help, thanks, please, like, need, know, get, work, one"
320,0,320_well_say_think_one,"well, say, think, one, make, year, team, like, also, know"
321,3,321_thanks_know_like_use,"thanks, know, like, use, one, good, output, need, look, window"
322,2,322_radio_one_watch_thanks,"radio, one, watch, thanks, game, well, good, also, time, video"
323,2,323_pay_condition_sell_thanks,"pay, condition, sell, thanks, copy, please, price, use, like, interested"
324,0,324_know_get_also_use,"know, get, also, use, work, think, one, like, want, say"
325,0,325_may_many_one_say,"may, many, one, say, way, well, also, get, like, people"
326,1,326_window_use_run_fast,"window, use, run, fast, work, version, problem, graphic, ram, video"
327,0,327_well_know_game_year,"well, know, game, year, say, think, make, good, one, season"
328,2,328_use_like_one_many,"use, like, one, many, people, chemical, know, say, well, get"
329,0,329_church_one_god_mean,"church, one, god, mean, people, paul, christ, christian, jesus, good"
330,0,330_one_get_use_clipper,"one, get, use, clipper, make, know, may, say, even, like"
331,1,331_one_know_well_get,"one, know, well, get, say, think, make, also, good, time"
332,1,332_graphic_use_program_need,"graphic, use, program, need, bitmap, thanks, picture, like, information, format"
333,0,333_one_time_think_use,"one, time, think, use, good, know, even, get, well, say"
334,0,334_get_like_make_know,"get, like, make, know, time, one, number, year, good, also"
335,0,335_jewish_one_racist_like,"jewish, one, racist, like, way, israeli, israel, people, muslim, make"
336,0,336_one_use_know_get,"one, use, know, get, good, price, card, like, thanks, also"
337,0,337_one_know_think_people,"one, know, think, people, thanks, make, like, please, say, well"
338,0,338_also_well_one_use,"also, well, one, use, case, get, end, like, hope, good"
339,0,339_one_say_use_many,"one, say, use, many, think, make, know, thing, people, mean"
340,3,340_thanks_game_make_go,"thanks, game, make, go, say, well, time, die, hope, team"
341,0,341_use_one_standard_make,"use, one, standard, make, people, know, new, time, think, get"
342,0,342_like_one_say_know,"like, one, say, know, get, god, make, think, see, well"
343,0,343_one_like_time_know,"one, like, time, know, get, thanks, well, make, work, use"
344,0,344_game_team_season_win,"game, team, season, win, baseball, player, play, well, good, year"
345,0,345_thank_christ_one_jesus,"thank, christ, one, jesus, god, say, thanks, verse, lord, believe"
346,1,346_keyboard_want_use_key,"keyboard, want, use, key, get, de, know, like, encryption, one"
347,1,347_use_one_get_like,"use, one, get, like, know, please, thanks, time, want, work"
348,2,348_one_good_get_well,"one, good, get, well, thanks, know, like, much, say, year"
349,1,349_one_people_say_like,"one, people, say, like, know, think, get, well, make, time"
350,3,350_one_monitor_use_work,"one, monitor, use, work, get, like, meg, serial, computer, drive"
351,1,351_one_like_new_well,"one, like, new, well, time, make, get, know, find, people"
352,0,352_algorithm_de_know_use,"algorithm, de, know, use, secret, key, encryption, one, may, skipjack"
353,0,353_know_like_use_new,"know, like, use, new, make, engine, car, get, well, price"
354,3,354_get_like_time_one,"get, like, time, one, think, people, good, know, well, want"
355,1,355_window_file_like_use,"window, file, like, use, help, editor, know, run, one, get"
356,4,356_make_one_people_also,"make, one, people, also, greece, think, remain, greek, say, ago"
357,0,357_use_sell_price_also,"use, sell, price, also, get, make, one, like, sale, good"
358,1,358_one_use_know_time,"one, use, know, time, say, get, like, think, people, make"
359,0,359_know_thanks_please_like,"know, thanks, please, like, use, get, year, dod, game, hope"
